,participant,cost,likelihood
240,17,cost_400,100.0
241,17,cost_500,96.0
242,17,cost_600,94.0
243,17,cost_700,93.0
244,17,cost_800,93.0
245,17,cost_900,90.0
246,17,cost_1000,89.0
247,17,cost_1100,89.0
248,17,cost_1200,88.0
249,17,cost_1300,88.0
250,17,cost_1400,88.0
251,17,cost_1500,86.0
252,17,cost_1600,85.0
253,17,cost_1700,75.0
254,17,cost_1800,74.0
255,17,cost_1900,79.0
256,17,cost_2000,81.0
257,17,cost_2100,78.0
258,17,cost_2200,75.0
259,17,cost_2300,73.0
260,17,cost_2400,76.0
261,17,cost_2500,74.0
262,17,cost_2600,71.0
263,17,cost_2700,72.0
264,17,cost_2800,72.0
265,17,cost_2900,70.0
266,17,cost_3000,66.0
267,18,cost_25,83.0
268,18,cost_50,74.0
269,18,cost_100,73.0
270,18,cost_200,67.0
271,18,cost_300,57.0
272,18,cost_400,54.0
273,18,cost_500,51.0
274,18,cost_600,42.0
275,18,cost_700,24.0
276,18,cost_800,20.0
277,18,cost_900,21.0
278,18,cost_1000,10.0
279,18,cost_1100,6.0
280,18,cost_1200,3.0
281,18,cost_1300,0.0
282,19,cost_0,100.0
283,19,cost_25,25.0
284,19,cost_50,10.0
285,19,cost_100,0.0
286,20,cost_0,100.0
287,20,cost_25,100.0
288,20,cost_50,100.0
289,20,cost_200,77.0
290,20,cost_400,24.0
291,20,cost_500,0.0
292,21,cost_0,100.0
293,21,cost_25,100.0
294,21,cost_50,100.0
295,21,cost_100,100.0
296,21,cost_200,100.0
297,21,cost_300,100.0
298,21,cost_400,100.0
299,21,cost_500,75.0
300,21,cost_600,70.0
301,21,cost_700,60.0
302,21,cost_800,60.0
303,21,cost_900,50.0
304,21,cost_1000,50.0
305,21,cost_1100,50.0
306,21,cost_1200,47.0
307,21,cost_1300,47.0
308,21,cost_1400,44.0
309,21,cost_1500,39.0
310,21,cost_1600,35.0
311,21,cost_1700,32.0
312,21,cost_1800,21.0
313,21,cost_1900,26.0
314,21,cost_2000,17.0
315,21,cost_2100,9.0
316,21,cost_2200,1.0
317,21,cost_2300,0.0
318,22,cost_0,100.0
319,22,cost_25,100.0
320,22,cost_50,100.0
321,22,cost_100,100.0
322,22,cost_200,79.0
323,22,cost_300,71.0
324,22,cost_700,39.0
325,22,cost_800,29.0
326,22,cost_900,24.0
327,22,cost_1000,29.0
328,22,cost_1100,30.0
329,22,cost_1200,32.0
330,22,cost_1300,29.0
331,22,cost_1400,28.0
332,22,cost_1500,27.0
333,22,cost_1600,27.0
334,22,cost_1700,29.0
335,22,cost_1800,27.0
336,22,cost_1900,24.0
337,22,cost_2000,14.0
